,H_IMDB,H_IMDA,H_CTL,M_IMDA,M_IMDB,M_CTL,R_IMDA,R_IMDB,R_CTL
LOC100742634,2.666010812,2.641869147,2.996920791,2.764152814,2.592108097,2.351936176,2.436598257,3.041613149,2.687985902
LOC100742635,15.41192646,17.66320918,18.2895723,16.65930058,16.98120386,16.58537441,15.73490387,15.73786114,17.51030399
LOC100742636,31.94857831,14.65445815,19.57958099,32.26711043,24.24383779,29.83629715,44.99456151,35.79961974,33.5297804
LOC100742637,3.144556768,2.228133151,3.886008917,2.613962721,3.823491055,2.571890095,2.677446962,3.533817461,3.554349069
LOC100742638,7.63210477,6.836238368,6.385171368,7.662036824,6.989608334,7.018414483,7.739067701,6.929968386,7.356368239
LOC100742640,10.56706532,10.94897617,10.62742503,10.76844816,10.33995464,9.582912542,11.75344959,11.34242227,10.53253654
LOC100742641,38.37957229,30.40148304,34.29423322,32.86648233,36.63883811,31.72671011,34.86216588,34.59478025,34.49389912
LOC100742642,5.951984819,6.014744551,7.533087709,5.084129946,4.711145583,4.173857195,3.652902942,3.874942582,4.724166857
LOC100742643,0.954774388,0.990237955,1.00446438,0.837891657,1.014793061,0.782952545,0.951545141,1.073657569,1.023779123
LOC100742644,36.70160664,40.77805539,43.46146609,42.87937797,44.97965386,42.36008807,43.23628328,43.45805657,40.73510779
LOC100742645,35.94562946,34.67441433,38.10740543,31.82054044,33.05482388,28.95330802,30.48803801,30.75943626,31.56449522
LOC100742646,36.77547968,19.79249663,25.35354795,32.45344165,26.95143395,25.44253879,36.1178251,38.50629227,23.87447024
LOC100742647,1.730331025,1.852430502,1.9465543,2.08989581,1.858595304,2.076062534,2.123897292,2.157882758,2.121300938
LOC100742648,0.123714552,0.18664489,0.178979199,0.139272522,0.078416474,0.100643151,0.104767945,0.158902264,0.086994562
LOC100742649,56.02316372,60.24492039,60.34009973,60.75260162,63.28520744,58.87371186,63.42852952,61.22382309,61.13751536
LOC100742650,8.837948365,9.223374094,10.62054945,10.80900377,10.45794636,10.07296575,10.51405069,10.48328468,10.17672845
LOC100742651,21.88702089,34.11388203,28.64487471,47.40368534,37.93785593,47.29100908,46.32856461,40.15901005,39.73171325
LOC100742652,4.594439008,2.791009433,1.527539196,1.699013889,1.862730047,1.258982532,2.563146924,2.206237107,2.588671377
LOC100742653,34.49652325,33.83171452,32.95434111,33.56977758,35.26302414,32.96806837,35.60040341,36.41320729,33.12606562
LOC100742654,25.28867896,28.60483423,27.31444766,30.92092178,31.52289235,28.82760478,29.08837371,29.12178399,29.57147033
LOC100742655,28.82212792,31.80148866,31.59907464,30.18734357,30.60145621,30.24431465,29.24658814,30.80806028,30.10732476
LOC100742656,43.08957735,38.3756697,38.48048391,39.38644758,43.61993243,40.14954617,43.31215618,44.77270799,41.05979558
LOC100742657,7.028941355,6.278974993,5.983429548,5.94784499,5.830165251,5.409428665,6.459680432,6.117730648,6.681220792
LOC100742658,0.903178714,0.629123984,0.644331057,0.960509661,0.835349948,1.280387081,0.821616947,0.957860549,0.869076865
LOC100742659,55.16203236,57.29284916,54.97629298,55.67772349,58.12876791,55.15911583,57.85735398,58.15574483,56.82879363
LOC100742660,1.662461075,2.09673882,2.038618468,2.143611855,2.555278591,2.177240375,2.633617595,2.962626711,2.60868685
LOC100742661,3.153235044,3.278872707,3.262566924,2.886995959,3.146432843,2.689055624,2.778682011,2.879697446,2.904788462
LOC100742662,45.5456813,55.39322751,55.66591584,57.61137875,59.83339935,64.82525916,56.39393956,64.69496917,58.35512804
LOC100742663,130.2193076,142.6127822,129.9221267,137.3927595,126.6809423,130.6039503,133.470411,123.3118562,131.7421072
LOC100742664,113.8600282,109.8379813,111.0236517,109.9761435,113.5850989,101.9274807,114.0484643,115.5382418,104.1923896
LOC100742665,10.20048212,9.457857328,9.507434539,8.105642417,9.090192276,7.670414112,7.595726568,7.181511503,8.437127642
LOC100742666,139.8834237,168.1963452,163.6959108,175.2886033,176.365306,169.4597767,170.2496978,169.4495611,166.8636801
LOC100742667,26.60341871,27.51224606,29.72418379,25.3304884,26.08015024,23.27130976,23.43555847,24.5528705,25.61713645
LOC100742668,15.1906154,17.63872509,17.48997588,15.86747448,16.35762437,15.58021281,14.8239253,16.11981715,16.10810144
LOC100742669,14.08502596,14.63678152,15.20312744,13.98626466,14.26035873,12.74905515,14.30551464,15.04651468,12.96620563
LOC100742670,8.209964089,8.451485603,9.366493667,8.032375823,7.729517278,7.681484962,7.443375309,7.904128727,8.048347829
LOC100742671,15.71761613,19.54746827,18.12692449,18.14200709,19.5239521,19.04820755,18.55732365,20.15171598,19.41458774
LOC100742672,4.803850015,3.52772959,4.087743688,4.104911748,4.569214952,4.162645793,4.769510281,4.893178643,4.558355652
LOC100742673,58.55915383,40.90820517,34.76374935,37.12807309,41.69416847,34.55627423,44.54475173,38.8235662,44.81096499
LOC100742674,6.890356833,4.653525408,4.720210504,4.970254135,5.184202426,4.209839889,5.295364719,4.581330519,4.716099046
LOC100742675,206.7332053,216.4903717,210.4101785,226.7650322,223.0413013,222.0147282,222.9055993,229.2920364,212.7053546
LOC100742677,50.39764949,50.34273731,49.90170125,46.25638477,48.24057239,40.44267653,41.19150574,46.41495389,45.23141156
LOC100742678,8.610864858,6.019599155,6.302690903,6.052255055,6.371514564,5.155834339,5.585923458,5.885057713,6.170558642
LOC100742679,5.208515166,3.924440919,3.863456899,4.03598732,3.337428799,3.18823052,4.144020687,4.419963161,3.444319022
LOC100742680,42.1757118,50.31730892,48.80806539,49.02371081,52.53672969,47.87001546,47.98680155,50.4498802,48.6878888
LOC100742682,56.82326974,56.7912014,55.13900141,59.62260712,60.22953928,55.63070536,61.62781969,61.4141107,54.5825597
LOC100742683,15.10113301,15.07735809,16.72875385,15.91656855,16.68178384,15.48468764,17.02408892,16.60461815,16.49942367
LOC100742684,3.536588152,3.012924491,3.513713241,3.775614654,2.87470908,3.175524509,2.316660664,2.176535145,3.51477208
LOC100742685,36.7703882,45.04591499,42.97581161,45.91682492,46.46593244,50.14444865,45.18661788,49.18451455,47.98280533
LOC100742686,4.49031376,6.615410032,5.952630706,6.495840218,5.837446227,5.768245506,6.227983833,5.986344699,5.696496869
LOC100742687,53.31602269,61.88968844,62.63169695,65.7767037,62.33440469,60.34868754,62.64514886,66.17562604,58.60327726
LOC100742688,14.35152025,12.96435299,12.38822671,12.3428821,12.76263676,11.02153294,12.18008747,11.49275534,12.32312719
LOC100742689,35.43959798,38.76529037,38.26966348,37.64229681,37.32522782,36.95623266,38.2337543,37.2494618,39.08368481
LOC100742690,32.37215216,37.76063,35.77385789,36.49752365,36.65175395,35.30504826,35.54115895,38.51598622,34.32586502
LOC100742691,0.165182792,0.060658105,0.140993154,0.165500986,0.085140573,0.052536462,0.087215663,0.072301723,0.168879241
LOC100742692,0.145127811,0.180763208,0.195465179,0.120627296,0.131275776,0.073526583,0.144228474,0.208946601,0.087940857
LOC100742693,25.68171653,20.35758229,18.87290326,20.5147897,24.74977682,19.79685624,20.68018968,21.5798646,21.64153355
LOC100742694,534.6251938,611.6488913,617.0785274,616.0984275,639.6411571,606.5155053,592.6878647,595.5973279,629.3170786
LOC100742695,0.492996209,0.261371651,0.239958412,0.303875221,0.310793357,0.108416116,0.288587041,0.240897675,0.251800119
LOC100742696,13.89946933,15.46235678,15.45021348,15.66475135,14.81543834,15.39455669,14.93825072,14.35112802,15.09874402
LOC100742697,57.4677536,57.12618673,54.9352536,59.09870929,60.98439978,54.90021721,59.81897313,59.55185577,57.36117709
LOC100742698,82.0284138,110.1176832,104.3170534,96.11219082,102.3352074,108.2636491,95.89454199,110.5816604,104.3465788
LOC100742699,26.92078197,27.96993939,28.59439898,29.37416167,28.79718621,28.85381305,27.61661948,30.62295184,30.35523134
LOC100742700,8.99164734,15.65857941,16.40989462,96.29815186,28.2762147,232.3354541,53.2824197,67.08325109,34.95234067
LOC100742701,9.080188562,8.048120883,8.555009137,7.895013515,8.258651178,7.62663993,8.598151319,8.421248837,7.937792475
LOC100742702,3842.396277,4205.548424,4706.816284,4806.369726,4430.008126,4978.43725,4735.510263,4323.478628,4903.655665
LOC100742703,10.62028035,10.7031855,9.991508724,9.612018458,11.0080066,10.39704515,10.77490851,10.78047585,11.32353569
LOC100742704,40.50807057,46.02843232,45.76864579,46.48092113,46.23314854,45.43679893,46.93693496,48.85324524,43.31445891
LOC100742705,13.59162378,14.3408184,14.19841371,13.68908237,13.62871424,13.23826735,13.04867421,14.13464865,13.41658677
LOC100742706,2.518308115,2.228972165,2.168360275,2.61566959,2.105130136,2.486055737,2.406543799,1.953094317,2.267247758
LOC100742708,89.09833366,97.38183121,99.00748704,100.9994561,103.2937235,100.7900502,102.4380024,104.0353776,98.00936343
LOC100742709,23.15795791,24.08887265,23.68815833,24.37714114,24.79391604,23.85448736,25.42332012,24.83157217,24.11732803
LOC100742710,5.043768617,5.506831917,5.788196882,5.669104186,5.465928377,4.914894168,5.5477331,5.049242013,4.451614371
LOC100742711,5.344294076,6.9001327,7.565621869,6.920916378,6.978955908,7.99236069,6.78332539,7.583279337,7.707568019
LOC100742712,1.14852364,1.435937721,1.157794397,1.206588037,1.093044586,1.086681268,1.522716247,1.348194791,1.165066313
LOC100742713,46.83582304,43.5626721,41.06850206,44.23122115,45.00957485,41.02484092,45.15639529,42.58864354,43.65064419
LOC100742714,14.16360934,15.42609488,16.20635393,14.9268831,15.91140999,16.10866363,14.77538565,15.86391257,15.40691978
LOC100742715,14.2086902,15.12741111,14.57109511,13.42036888,14.15688532,13.42824839,13.40768978,14.3502761,13.52919398
LOC100742716,11.04307183,12.59850536,11.50411241,11.52468941,12.99379845,11.4710771,11.95804723,11.78881028,11.43019551
LOC100742717,47.77746099,42.40157406,43.25162103,43.78189202,44.92201469,42.45215371,45.6585136,44.07265095,46.02944282
LOC100742718,25.23764428,30.82801499,31.1665657,29.22496207,28.69845752,30.39306606,30.26131261,31.42630844,30.56275341
LOC100742720,0.009149875,0.135242311,0.0196811,0.057093804,0.027478629,0.044926573,0.031476017,0,0.066109278
LOC100742721,34.91508452,28.54746444,26.45738852,27.6667018,26.93758284,24.06637521,29.65241906,28.28917243,27.78389175
LOC100742722,1.746187968,2.661426103,2.414166731,2.511095032,2.583731135,2.48491873,2.811759242,2.574086278,2.483307965
LOC100742723,30.65659035,24.29975758,25.56175663,26.13659664,27.65176329,24.10735251,25.00591625,25.11955223,26.15764569
LOC100742724,21.90510633,21.62074093,23.70727657,21.21949837,21.71692713,20.56845287,23.99959829,23.77207628,21.83737673
LOC100742726,9.854085073,9.78962914,9.239952662,9.290356573,9.820291207,8.817295789,9.869661966,9.707326655,9.353264797
LOC100742727,21.7355165,22.20953919,20.42726926,20.932862,21.01681695,20.3174291,21.42708244,20.08590019,21.5470096
LOC100742728,31.54788447,32.52391103,41.13402579,38.60344975,41.82456383,42.49669893,37.89414905,39.66711296,39.84783844
LOC100742730,5.029784336,2.363534759,3.393875477,2.314995211,4.582178628,5.059224044,3.518235905,5.586878687,4.086471473
LOC100742731,73.54087276,73.86260967,77.82013517,67.74454372,71.99106287,67.36031231,64.89191549,69.17877685,69.21683065
LOC100742732,42.19511484,42.518339,40.25013998,42.7565777,43.50968378,39.73528941,42.88943602,45.47319038,40.79683216
LOC100742733,247.5626055,263.2048572,311.9407295,296.0194759,296.0928176,307.5069577,290.3098614,313.4371044,282.7801458
LOC100742734,8.277665936,8.607580942,9.683144787,8.792401941,9.147079181,8.641989071,9.822614725,9.349809051,8.825823355
LOC100742735,41.55809422,44.28946523,44.15483169,47.38055307,45.14224951,47.66148529,50.92507505,46.38076227,46.16833678
LOC100742736,3.586391307,4.389902562,6.836216043,3.848595097,2.854852469,3.006398902,2.333989434,2.051254058,4.278294495
LOC100742737,14.08248968,13.73957904,16.10513763,16.37471749,15.04451872,15.74841026,12.55398257,14.98885861,14.07269253
LOC100742738,31.67175263,35.07472516,36.25908659,39.9227002,38.51010754,38.46634474,40.13611386,39.19301149,37.30121805
LOC100742739,255.3383008,248.6749196,250.4914335,255.9145575,262.5870573,247.8903245,271.7140379,260.4500868,263.4364727
LOC100742740,58.06645258,51.62005658,57.74287646,43.41544554,44.54641684,38.31866551,36.71072973,38.04413308,46.3885176
LOC100742741,45.01541028,44.66701638,43.57111324,42.64888104,44.49140463,40.05258914,42.81979677,43.43683252,44.00800232
